,"Credit goes to Felix Just, S.J., Ph.D. for all data below. Find original information and more at: https://catholic-resources.org/Lectionary/",,,,,,,Further Reading Based on the Lectionary. Credit goes to CHResources. See their program here: https://s3.amazonaws.com/chnpublicmedia/bblccc.pdf,,,,
Occasion,1st Reading,Response,2nd Reading,Gospel,Lectionary#,,,1st Reading,Responsorial,2nd Reading,Gospel,Catechism
"Ord. Time, Week 6, Mon","Gen 4:1-15, 25","Ps 50:1+8, 16bc-17, 20-21",,Mark 8:11-13,335,,,,,,,
"Ord. Time, Week 6, Tues","Gen 6:5-8; 7:1-5, 10","Ps 29:1a+2, 3ac-4, 3b+9c-10",,Mark 8:14-21,336,,,,,,,
"Ord. Time, Week 6, Wed","Gen 8:6-13, 20-22","Ps 116:12-13, 14-15, 18-19",,Mark 8:22-26,337,,,,,,,
"Ord. Time, Week 6, Thurs",Gen 9:1-13,"Ps 102:16-18, 19-21, 29+22-23",,Mark 8:27-33,338,,,,,,,
"Ord. Time, Week 6, Fri",Gen 11:1-9,"Ps 33:10-11, 12-13, 14-15",,Mark 8:34—9:1,339,,,,,,,
"Ord. Time, Week 6, Sat",Heb 11:1-7,"Ps 145:2-3, 4-5, 10-11",,Mark 9:2-13,340,,,,,,,
7th Sunday in Ordinary Time,"Lev 19:1-2, 17-18","Ps 103:1-2, 3-4, 8+10, 12-13",1 Cor 3:16-23,Matt 5:38-48,79,,,,,,,
"Ord. Time, Week 7, Mon",Sir 1:1-10,"Ps 93:1ab, 1cd-2, 5",,Mark 9:14-29,341,,,,,,,
"Ord. Time, Week 7, Tues",Sir 2:1-11,"Ps 37:3-4, 18-19, 27-28, 39-40",,Mark 9:30-37,342,,,,,,,
"Ord. Time, Week 7, Wed",Sir 4:11-19,"Ps 119:165, 168, 171, 172, 174, 175",,Mark 9:38-40,343,,,,,,,
"Ord. Time, Week 7, Thurs",Sir 5:1-8,"Ps 1:1-2, 3, 4+6",,Mark 9:41-50,344,,,,,,,
"Ord. Time, Week 7, Fri",Sir 6:5-17,"Ps 119:12, 16, 18, 27, 34, 35",,Mark 10:1-12,345,,,,,,,
"Ord. Time, Week 7, Sat",Sir 17:1-15,"Ps 103:13-14, 15-16, 17-18a",,Mark 10:13-16,346,,,,,,,
8th Sunday in Ordinary Time,Isa 49:14-15,"Ps 62:2-3, 6-7, 8-9",1 Cor 4:1-5,Matt 6:24-34,82,,,,,,,
"Ord. Time, Week 8, Mon",Sir 17:20-24,"Ps 32:1-2, 5, 6, 7",,Mark 10:17-27,347,,,,,,,
"Ord. Time, Week 8, Tues",Sir 35:1-12,"Ps 50:5-6, 7-8, 14+23",,Mark 10:28-31,348,,,,,,,
"Ord. Time, Week 8, Wed","Sir 36:1, 4-5a, 10-17","Ps 79:8, 9, 11+13",,Mark 10:32-45,349,,,,,,,
"Ord. Time, Week 8, Thurs",Sir 42:15-25,"Ps 33:2-3, 4-5, 6-7, 8-9",,Mark 10:46-52,350,,,,,,,
"Ord. Time, Week 8, Fri","Sir 44:1, 9-13","Ps 149:1b-2, 3-4, 5-6a+9b",,Mark 11:11-26,351,,,,,,,
"Ord. Time, Week 8, Sat",Sir 51:12cd-20,"Ps 19:8, 9, 10, 11",,Mark 11:27-33,352,,,,,,,
9th Sunday in Ordinary Time,"Deut 11:18, 26-28, 32","Ps 31:2-3a, 3b-4, 17+25","Rom 3:21-25, 28",Matt 7:21-27,85,,,,,,,
"Ord. Time, Week 9, Mon",Tob 1:3; 2:1a-8,"Ps 112:1b-2, 3b-4, 5-6",,Mark 12:1-12,353,,,,,,,
"Ord. Time, Week 9, Tues",Tob 2:9-14,"Ps 112:1-2, 7-8, 9",,Mark 12:13-17,354,,,,,,,
Ash Wednesday,Joel 2:12-18,"Ps 51:3-4, 5-6ab, 12-13, 14+17",2 Cor 5:20—6:2,"Matt 6:1-6, 16-18",219,,,,,,,
Thursday after Ash Wed.,Deut 30:15-20,"Ps 1:1-2, 3, 4+6",,Luke 9:22-25,220,,,,,,,
Friday after Ash Wed.,Isa 58:1-9a,"Ps 51:3-4, 5-6ab, 18-19",,Matt 9:14-15,221,,,,,,,
Saturday after Ash Wed.,Isa 58:9b-14,"Ps 86:1-2, 3-4, 5-6",,Luke 5:27-32,222,,,,,,,
1st Sunday of Lent,Gen 2:7-9; 3:1-7,"Ps 51:3-4, 5-6, 12-13, 14+17","Rom 5:12-19 or 5:12, 17-19",Matt 4:1-11,22,,,,,,,
"Lent, Week 1, Mon","Lev 19:1-2, 11-18","Ps 20:8, 9, 10, 15",,Matt 25:31-46,224,,,,,,,
"Lent, Week 1, Tues",Isa 55:10-11,"Ps 34:4-5, 6-7, 16-17, 18-19",,Matt 6:7-15,225,,,,,,,
"Lent, Week 1, Wed",Jonah 3:1-10,"Ps 51:3-4, 12-13, 18-19",,Luke 11:29-32,226,,,,,,,
"Lent, Week 1, Thurs","Esth C:12, 14-16, 23-25","Ps 138:1-2ab, 2cde-3, 7c-8",,Matt 7:7-12,227,,,,,,,
"Lent, Week 1, Fri",Ezek 18:21-28,"Ps 130:1-2, 3-4, 5-7a, 7bc-8",,Matt 5:20-26,228,,,,,,,
"Lent, Week 1, Sat",Deut 26:16-19,"Ps 119:1-2, 4-5, 7-8",,Matt 5:43-48,229,,,,,,,
2nd Sunday of Lent,Gen 12:1-4a,"Ps 33:4-5, 18-19, 20+22",2 Tim 1:8b-10,Matt 17:1-9,25,,,,,,,
"Lent, Week 2, Mon",Dan 9:4b-10,"Ps 78:8, 9, 11+13",,Luke 6:36-38,230,,,,,,,
"Lent, Week 2, Tues","Isa 1:10, 16-20","Ps 50:8-9, 16bc-17, 21+23",,Matt 23:1-12,231,,,,,,,
"Lent, Week 2, Wed",Jer 18:18-20,"Ps 31:5-6, 14, 15-16",,Matt 20:17-28,232,,,,,,,
"Lent, Week 2, Thurs",Jer 17:5-10,"Ps 1:1-2, 3, 4+6",,Luke 16:19-31,233,,,,,,,
"Lent, Week 2, Fri","Gen 37:3-4, 12-13a, 17b-28a","Ps 105:16-17, 18-19, 20-21",,"Matt 21:33-43, 45-46",234,,,,,,,
"Lent, Week 2, Sat","Mic 7:14-15, 18-20","Ps 103:1-2, 3-4, 9-10, 11-12",,"Luke 15:1-3, 11-32",235,,,,,,,
3rd Sunday of Lent,Exod 17:3-7,"Ps 95:1-2, 6-7b, 7c-9","Rom 5:1-2, 5-8","John 4:5-42 or 4:5-15, 19b-26, 39a, 40-42",28,,,,,,,
"Lent, Week 3, Mon",2 Kgs 5:1-15a,"Ps 42:2, 3; 42:3, 4",,Luke 4:24-30,237,,,,,,,
"Lent, Week 3, Tues","Dan 3:25, 34-43","Ps 25:4-5ab, 6+7bc, 8-9",,Matt 18:21-35,238,,,,,,,
"Lent, Week 3, Wed","Deut 4:1, 5-9","Ps 147:12-13, 15-16, 19-20",,Matt 5:17-19,239,,,,,,,
"Lent, Week 3, Thurs",Jer 7:23-28,"Ps 95:1-2, 6-7, 8-9",,Luke 11:14-23,240,,,,,,,
"Lent, Week 3, Fri",Hos 14:2-10,"Ps 81:6c-8a, 8bc-9, 10-11ab, 14+17",,Mark 12:28b-34,241,,,,,,,
"Lent, Week 3, Sat",Hos 6:1-6,"Ps 51:3-4, 18-19, 20-21ab",,Luke 18:9-14,242,,,,,,,
4th Sunday of Lent,"1 Sam 16:1b, 6-7, 10-13a","Ps 23:1-3a, 3b-4, 5, 6",Eph 5:8-14,"John 9:1-41 or 9:1, 6-9, 13-17, 34-38",31,,,,,,,
"Lent, Week 4, Mon",Isa 65:17-21,"Ps 30:2+4, 5-6, 11-12a+13b",,John 4:43-54,244,,,,,,,
"Lent, Week 4, Tues","Ezek 47:1-9, 12","Ps 46:2-3, 5-6, 8-9",,"John 5:1-3a, 5-16",245,,,,,,,
